iter	MAE
0	2.273605113
1	2.200769956
2	2.131875809
3	2.083119452
4	2.045595427
5	2.016545921
6	1.988896437
7	1.970643489
8	1.951821702
9	1.928754878
10	1.921361184
11	1.899023447
12	1.893385213
13	1.887205272
14	1.874387508
15	1.855102201
16	1.842830905
17	1.839632794
18	1.832237924
19	1.823779871
20	1.818776392
21	1.816383391
22	1.804876883
23	1.800901725
24	1.797922427
25	1.794917365
26	1.789066677
27	1.788789215
28	1.788403555
29	1.782036714
30	1.780012069
31	1.776545931
32	1.769445391
33	1.768108931
34	1.761870258
35	1.756898849
36	1.755505057
37	1.752761313
38	1.750748685
39	1.747315649
40	1.743116234
41	1.740004435
42	1.737218483
43	1.733290758
44	1.727977472
45	1.724433902
46	1.719882791
47	1.716359267
48	1.71456074
49	1.710836597
50	1.706472918
51	1.704546769
52	1.70246822
53	1.695758334
54	1.693926796
55	1.691185273
56	1.688763493
57	1.685594372
58	1.682947431
59	1.678904966
60	1.677688992
61	1.67693096
62	1.674615484
63	1.666692767
64	1.662129147
65	1.66100472
66	1.659023873
67	1.658441919
68	1.655851643
69	1.655058123
70	1.653912392
71	1.652907319
72	1.65218754
73	1.648996706
74	1.645096951
75	1.64219561
76	1.638080729
77	1.636371105
78	1.634640736
79	1.632845343
80	1.631802641
81	1.631017028
82	1.630773508
83	1.628538443
84	1.627472807
85	1.626195535
86	1.625384974
87	1.623272271
88	1.622041495
89	1.617217559
90	1.616534137
91	1.61410932
92	1.613176744
93	1.6101868
94	1.609878853
95	1.60931237
96	1.608646655
97	1.607268329
98	1.605967762
99	1.6046307
100	1.60209817
101	1.600032749
102	1.59730681
103	1.596559246
104	1.593759699
105	1.593291342
106	1.592024682
107	1.591271309
108	1.59085554
109	1.588829322
110	1.586702107
111	1.586299724
112	1.585547982
113	1.5852147
114	1.584319761
115	1.583977941
116	1.581713627
117	1.580468074
118	1.577743306
119	1.577631664
120	1.576893056
121	1.575269687
122	1.574442371
123	1.573793348
124	1.573053109
125	1.570888655
126	1.568987717
127	1.568418139
128	1.568033983
129	1.567399286
130	1.566846264
131	1.565343184
132	1.564968172
133	1.562996862
134	1.56228376
135	1.562115462
136	1.561020184
137	1.559473678
138	1.556667906
139	1.55630435
140	1.555833162
141	1.555105861
142	1.553021746
143	1.552575269
144	1.551859538
145	1.549796335
146	1.548774127
147	1.548243216
148	1.545620037
149	1.544039848
150	1.543470476
151	1.54318096
152	1.542128663
153	1.539936505
154	1.539106456
155	1.538761381
156	1.538417156
157	1.537518838
158	1.53741248
159	1.536884773
160	1.536396886
161	1.535143232
162	1.535008682
163	1.531871847
164	1.531350076
165	1.530233782
166	1.529960639
167	1.528271182
168	1.528097958
169	1.526468344
170	1.525221766
171	1.523266419
172	1.522392471
173	1.521109931
174	1.519462737
175	1.519038342
176	1.518773462
177	1.518085902
178	1.517956658
179	1.517398972
180	1.516026052
181	1.515809546
182	1.515129663
183	1.514680001
184	1.514220443
185	1.51398284
186	1.513631244
187	1.51342741
188	1.512512447
189	1.511718158
190	1.511563857
191	1.509611714
192	1.507433829
193	1.506888744
194	1.506512739
195	1.503255488
196	1.502861403
197	1.502103787
198	1.501295024
199	1.49927863
200	1.499202341
201	1.498338732
202	1.49813305
203	1.497545986
204	1.496946204
205	1.496808026
206	1.496540612
207	1.494670219
208	1.493690983
209	1.493112936
210	1.49131441
211	1.48885786
212	1.486915601
213	1.486368081
214	1.484190395
215	1.483965437
216	1.483740537
217	1.483460666
218	1.47966046
219	1.47871382
220	1.478094648
221	1.476948041
222	1.473522805
223	1.471597724
224	1.470189592
225	1.468979668
226	1.467633946
227	1.467495695
228	1.467464475
229	1.467171647
230	1.466874753
231	1.466670156
232	1.466532533
233	1.46526568
234	1.465107226
235	1.45908945
236	1.45898157
237	1.458901623
238	1.458695556
239	1.455383792
240	1.454527037
241	1.453472995
242	1.453360979
243	1.452036596
244	1.451988111
245	1.451723616
246	1.450155059
247	1.447946787
248	1.447867275
249	1.447148416
250	1.44639653
251	1.446137229
252	1.444016118
253	1.44275624
254	1.441994541
255	1.441632042
256	1.439482071
257	1.43921571
258	1.436805503
259	1.436561612
260	1.435306304
261	1.435134813
262	1.434987795
263	1.432722137
264	1.432313282
265	1.431815271
266	1.431308892
267	1.430947032
268	1.430584097
269	1.429783574
270	1.429512015
271	1.428658747
272	1.428447799
273	1.427313509
274	1.427238699
275	1.427030475
276	1.426923877
277	1.426795099
278	1.426612065
279	1.426024995
280	1.425820467
281	1.425435431
282	1.425337576
283	1.424452713
284	1.424166892
285	1.423306821
286	1.422961822
287	1.422503235
288	1.422230097
289	1.4213021
290	1.421108451
291	1.420847977
292	1.420717809
293	1.42032606
294	1.420136384
295	1.419891322
296	1.419488466
297	1.418896956
298	1.418246683
299	1.41809055
300	1.417938111
301	1.417261629
302	1.416848857
303	1.416744292
304	1.416606259
305	1.416413694
306	1.416285759
307	1.415751092
308	1.415566802
309	1.415534109
310	1.415523836
311	1.415054134
312	1.415037626
313	1.414717883
314	1.414573194
315	1.414426658
316	1.41375077
317	1.413636329
318	1.41316484
319	1.412768327
320	1.412097237
321	1.411887328
322	1.411837601
323	1.411796659
324	1.411558626
325	1.410896921
326	1.410656418
327	1.410593451
328	1.410525226
329	1.410302693
330	1.409366971
331	1.409151799
332	1.408891161
333	1.408533474
334	1.408148745
335	1.407550329
336	1.407010413
337	1.40669515
338	1.406338921
339	1.405911906
340	1.405847563
341	1.405647995
342	1.405440475
343	1.404869639
344	1.40484375
345	1.404821884
346	1.404610821
347	1.403730439
348	1.403341568
349	1.402506833
350	1.402172604
351	1.402152041
352	1.401421353
353	1.401275073
354	1.401089206
355	1.401068732
356	1.400653497
357	1.40041289
358	1.399598785
359	1.399503045
360	1.399404584
361	1.399184454
362	1.399165205
363	1.398857107
364	1.398706244
365	1.398576979
366	1.398509085
367	1.39815189
368	1.396765203
369	1.39660091
370	1.39563535
371	1.395107198
372	1.394969033
373	1.394843214
374	1.393801178
375	1.393688514
376	1.393347605
377	1.393059703
378	1.392933374
379	1.389274261
380	1.388584743
381	1.388372064
382	1.387763951
383	1.387624061
384	1.386966255
385	1.386892921
386	1.386531231
387	1.386357147
388	1.385766896
389	1.385047922
390	1.384916476
391	1.384839976
392	1.384295617
393	1.383988116
394	1.383351092
395	1.382836919
396	1.382533881
397	1.382077411
398	1.381721202
399	1.381210309
400	1.379713187
401	1.378612686
402	1.37821688
403	1.378081529
404	1.377070805
405	1.376660731
406	1.375986316
407	1.375889466
408	1.374096645
409	1.374045907
410	1.373844617
411	1.373772674
412	1.373617183
413	1.37330839
414	1.372987122
415	1.372790608
416	1.372578618
417	1.372382099
418	1.372360148
419	1.371903124
420	1.371068211
421	1.370933444
422	1.370796123
423	1.370699911
424	1.37031055
425	1.370230692
426	1.370107522
427	1.369996213
428	1.369597433
429	1.369464439
430	1.369395164
431	1.369223603
432	1.368763136
433	1.368591911
434	1.368564529
435	1.368368663
436	1.368231335
437	1.367723033
438	1.367396041
439	1.367124999
440	1.366944157
441	1.366065144
442	1.365104817
443	1.364848731
444	1.364717885
445	1.364296227
446	1.363822688
447	1.360178091
448	1.359695775
449	1.359599908
450	1.35928346
451	1.358897245
452	1.358653799
453	1.35861849
454	1.358141117
455	1.357655677
456	1.356613739
457	1.356437939
458	1.354728731
459	1.354627636
460	1.354314511
461	1.353172496
462	1.353148069
