iter	Passed	Remaining
0	61	51330
1	124	52299
2	195	54502
3	278	58251
4	345	57738
5	416	57873
6	466	55556
7	541	56324
8	611	56455
9	677	56210
10	745	56205
11	820	56604
12	906	57642
13	972	57383
14	1044	57444
15	1154	59432
16	1256	60843
17	1298	59295
18	1403	60625
19	1594	65370
20	1675	65354
21	1760	65446
22	1842	65432
23	1923	65409
24	2008	65463
25	2172	68021
26	2275	68508
27	2335	67724
28	2358	65964
29	2429	65600
30	2496	65158
31	2573	64975
32	2640	64575
33	2695	63890
34	2768	63679
35	2843	63513
36	2908	63113
37	3026	63876
38	3117	64029
39	3213	64261
40	3309	64485
41	3389	64407
42	3470	64323
43	3537	63990
44	3607	63731
45	3689	63685
46	3754	63344
47	3831	63216
48	3910	63122
49	3990	63044
50	4064	62883
51	4136	62685
52	4204	62431
53	4265	62085
54	4323	61713
55	4398	61576
56	4472	61435
57	4528	61058
58	4597	60860
59	4662	60615
60	4722	60312
61	4780	59984
62	4844	59746
63	4912	59558
64	4985	59443
65	5055	59290
66	5130	59190
67	5201	59056
68	5258	58763
69	5318	58508
70	5385	58328
71	5457	58216
72	5540	58214
73	5612	58100
74	5685	57992
75	5748	57790
76	5805	57526
77	5891	57551
78	5962	57437
79	6025	57239
80	6083	57007
81	6143	56785
82	6204	56584
83	6268	56419
84	6337	56293
85	6402	56136
86	6469	55996
87	6535	55850
88	6602	55711
89	6669	55581
90	6737	55454
91	6801	55295
92	6872	55199
93	6942	55098
94	7006	54946
95	7068	54784
96	7141	54704
97	7207	54571
98	7266	54387
99	7329	54241
100	7389	54067
101	7449	53898
102	7512	53752
103	7574	53602
104	7643	53507
105	7707	53373
106	7775	53264
107	7845	53173
108	7917	53095
109	7982	52976
110	8049	52865
111	8111	52724
112	8174	52594
113	8238	52463
114	8305	52363
115	8437	52659
116	8517	52634
117	8581	52508
118	8645	52384
119	8714	52288
120	8772	52128
121	8837	52011
122	8902	51894
123	8967	51777
124	9035	51684
125	9104	51591
126	9171	51488
127	9240	51400
128	9310	51313
129	9377	51215
130	9434	51060
131	9498	50946
132	9560	50819
133	9624	50706
134	9683	50570
135	9742	50430
136	9859	50592
137	9931	50522
138	9998	50424
139	10064	50320
140	10131	50224
141	10191	50096
142	10255	49987
143	10318	49871
144	10375	49731
145	10438	49619
146	10497	49489
147	10560	49376
148	10626	49280
149	10692	49187
150	10751	49055
151	10820	48977
152	10885	48877
153	10953	48794
154	11015	48681
155	11077	48572
156	11135	48442
157	11218	48424
158	11274	48288
159	11334	48170
160	11392	48045
161	11452	47929
162	11514	47823
163	11574	47707
164	11640	47618
165	11704	47521
166	11765	47413
167	11833	47334
168	11892	47216
169	11958	47129
170	12019	47022
171	12081	46919
172	12141	46812
173	12216	46759
174	12279	46663
175	12337	46544
176	12392	46417
177	12464	46356
178	12525	46252
179	12596	46187
180	12657	46083
181	12836	46407
182	12905	46333
183	12982	46284
184	13052	46211
185	13118	46124
186	13182	46031
187	13252	45959
188	13317	45872
189	13429	45944
190	13511	45912
191	13595	45884
192	13725	46013
193	13819	46016
194	13898	45971
195	13969	45898
196	14041	45832
197	14111	45756
198	14179	45673
199	14242	45574
200	14310	45495
201	14379	45417
202	14450	45344
203	14519	45266
204	14596	45213
205	14660	45121
206	14726	45034
207	14803	44979
208	14877	44915
209	14948	44845
210	15018	44770
211	15100	44731
212	15176	44674
213	15250	44612
214	15322	44542
215	15385	44446
216	15444	44339
217	15499	44222
218	15563	44133
219	15627	44040
220	15692	43954
221	15752	43852
222	15812	43749
223	15868	43639
224	15929	43540
225	15997	43461
226	16059	43368
227	16131	43299
228	16200	43223
229	16276	43167
230	16337	43072
231	16396	42970
232	16463	42888
233	16531	42811
234	16613	42769
235	16674	42675
236	16733	42574
237	16789	42467
238	16850	42372
239	16912	42282
240	16973	42187
241	17036	42098
242	17098	42007
243	17160	41915
244	17229	41842
245	17287	41743
246	17348	41650
247	17409	41557
248	17470	41466
249	17536	41385
250	17599	41300
251	17728	41366
252	17849	41413
253	17954	41423
254	18081	41481
255	18183	41479
256	18278	41464
257	18340	41371
258	18400	41277
259	18462	41186
260	18521	41087
261	18578	40985
262	18634	40882
263	18698	40796
264	18755	40696
265	18815	40602
266	18875	40507
267	18932	40408
268	18989	40309
269	19087	40296
270	19158	40224
271	19218	40132
272	19276	40036
273	19333	39937
274	19391	39839
275	19455	39757
276	19525	39685
277	19590	39602
278	19651	39513
279	19717	39435
280	19775	39339
281	19830	39239
282	19887	39142
283	19941	39040
284	20000	38947
285	20060	38858
286	20119	38765
287	20182	38683
288	20246	38601
289	20307	38514
290	20365	38422
291	20428	38337
292	20493	38258
293	20553	38170
