PN,Total_Hours,Min_Start_Date,Max_End_Date,Total_Business_Days,Start_Date,End_Date
BGAT-113EP-0.5-001-00,24.097042641051686,2025-05-20 11:00:00,2025-06-02 10:01:00,13,2025-05-20 11:00,2025-06-02 10:01
BGAT-113EP-0.5-001-20,9.708990947957098,2025-05-21 08:02:00,2025-05-27 11:41:00,7,2025-05-21 08:02,2025-05-27 11:41
BGAT-113EP-0.5-001-70,15.615720721335647,2025-05-19 08:00:00,2025-05-23 10:05:00,5,2025-05-19 08:00,2025-05-23 10:05
FP-14EPK-0.5-003-00_70_50,1.2277104887242203,2025-05-20 13:49:00,2025-05-20 09:13:00,0,2025-05-20 13:49,2025-05-20 09:13
FP-16X40EP-0.65-001,62.03988341394748,2025-05-19 08:00:00,2025-06-05 09:59:00,18,2025-05-19 08:00,2025-06-05 09:59
FP-16X40EP-0.65-001-E0,26.60088784736788,2025-05-21 10:22:00,2025-05-28 08:57:00,7,2025-05-21 10:22,2025-05-28 08:57
FP-16X40EP-0.65-001-G0,29.85914961690478,2025-05-20 08:00:00,2025-05-30 08:10:00,11,2025-05-20 08:00,2025-05-30 08:10
FP-28X35EPK-0.65-001-C0,21.510604141354683,2025-05-21 08:09:00,2025-05-27 08:15:00,7,2025-05-21 08:09,2025-05-27 08:15
FP-28X35EPK-0.65-001-G0,20.48242121347957,2025-05-19 08:00:00,2025-05-28 08:05:00,10,2025-05-19 08:00,2025-05-28 08:05
FP-8EPK-0.65-018-70_50,0.864006121476276,2025-05-26 09:14:00,2025-05-26 08:51:00,0,2025-05-26 09:14,2025-05-26 08:51
OTQ-48EPK-0.5-041-00,10.89180987030223,2025-05-21 08:10:00,2025-05-23 10:10:00,3,2025-05-21 08:10,2025-05-23 10:10
QFN-16X4EPK-0.5-008-S0,6.853156976294548,2025-05-21 11:03:00,2025-05-26 13:23:00,6,2025-05-21 11:03,2025-05-26 13:23
QFN-16X8EPK-0.5-013-00,32.29815664865721,2025-05-19 13:51:00,2025-06-02 12:15:00,14,2025-05-19 13:51,2025-06-02 12:15
QFN-16X8EPK-0.5-013-70,13.356689468394668,2025-05-19 08:00:00,2025-05-26 10:37:00,8,2025-05-19 08:00,2025-05-26 10:37
QFN-28X32EPK-0.5-001,18.60976234435343,2025-05-19 08:00:00,2025-05-23 08:38:00,5,2025-05-19 08:00,2025-05-23 08:38
QFN-8EPK-0.65-009-U0_70,11.14960147840885,2025-05-23 12:16:00,2025-05-27 10:52:00,4,2025-05-23 12:16,2025-05-27 10:52
QFN-9EPK-0.5-003-U0/-70_QFNSOCKETW/ REFPO_PO,4.0,2025-05-19 08:00:00,2025-05-19 12:00:00,1,2025-05-19 08:00,2025-05-19 12:00
QFN-9X32EPK-0.475-001-S0_STRIPSOCKET & LIDW/ REFPO_,7.0,2025-05-19 08:00:00,2025-05-20 09:00:00,2,2025-05-19 08:00,2025-05-20 09:00
