,PN,PRODUCT-ASSY TYPE,Task,PN Task,PRODUCT-ASSY TYPE Task,ASSY TYPE,PARTS TYPE,ORDER TYPE,INQUIRY_OR_PO,Order Type,NUM_SITE,NUM_STRIP,SITE_TYPE,PN_PREFIX,PIC,JAGUAR,WCSP,STRIP,BI,TI,NON TI,Designation,CadExp_Enplas,Enplas_Years,CADWork_NonEnplas,NonCadWork,Total,Predicted Takt
0,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,DRAWING - 2D&3D  ASSY,QFN-28X32EPK-0.5-001-DRAWING - 2D&3D  ASSY,JAGUARSOCKETDIFFICULTPO-DRAWING - 2D&3D  ASSY,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,DJ,85,0,0,0,0,0,ADE,3.0,11.0,0.0,0.0,11.0,7.60816235550009
1,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,DRAWING - 2D&3D  ASSY,QFN-28X32EPK-0.5-001-DRAWING - 2D&3D  ASSY,JAGUARSOCKETDIFFICULTPO-DRAWING - 2D&3D  ASSY,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,MELVS,95,0,0,0,100,100,ADE,10.0,14.0,0.0,0.0,14.0,10.15706325838634
2,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,DRAWING - 2D&3D  ASSY,QFN-28X32EPK-0.5-001-DRAWING - 2D&3D  ASSY,JAGUARSOCKETDIFFICULTPO-DRAWING - 2D&3D  ASSY,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,MOI,0,0,0,100,85,0,DE,8.5,7.5,9.0,2.0,19.5,7.431597524966783
3,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,DRAWING - 2D&3D  ASSY,QFN-28X32EPK-0.5-001-DRAWING - 2D&3D  ASSY,JAGUARSOCKETDIFFICULTPO-DRAWING - 2D&3D  ASSY,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,JIM,85,0,0,0,0,0,DE,1.0,1.0,9.0,1.0,11.0,9.7573792652875
4,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,FINAL CHECKING,QFN-28X32EPK-0.5-001-FINAL CHECKING,JAGUARSOCKETDIFFICULTPO-FINAL CHECKING,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,DJ,85,0,0,0,0,0,ADE,3.0,11.0,0.0,0.0,11.0,1.96445097735772
5,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,FINAL CHECKING,QFN-28X32EPK-0.5-001-FINAL CHECKING,JAGUARSOCKETDIFFICULTPO-FINAL CHECKING,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,MELVS,95,0,0,0,100,100,ADE,10.0,14.0,0.0,0.0,14.0,3.0943875970129895
6,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,FINAL CHECKING,QFN-28X32EPK-0.5-001-FINAL CHECKING,JAGUARSOCKETDIFFICULTPO-FINAL CHECKING,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,MOI,0,0,0,100,85,0,DE,8.5,7.5,9.0,2.0,19.5,1.7429484225888103
7,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,FINAL CHECKING,QFN-28X32EPK-0.5-001-FINAL CHECKING,JAGUARSOCKETDIFFICULTPO-FINAL CHECKING,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,JIM,85,0,0,0,0,0,DE,1.0,1.0,9.0,1.0,11.0,1.8116425143702626
8,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,THERMAL SIMULATION SET-UP,QFN-28X32EPK-0.5-001-THERMAL SIMULATION SET-UP,JAGUARSOCKETDIFFICULTPO-THERMAL SIMULATION SET-UP,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,DJ,85,0,0,0,0,0,ADE,3.0,11.0,0.0,0.0,11.0,6.641056571596831
9,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,THERMAL SIMULATION SET-UP,QFN-28X32EPK-0.5-001-THERMAL SIMULATION SET-UP,JAGUARSOCKETDIFFICULTPO-THERMAL SIMULATION SET-UP,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,MELVS,95,0,0,0,100,100,ADE,10.0,14.0,0.0,0.0,14.0,6.720152939255309
10,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,THERMAL SIMULATION SET-UP,QFN-28X32EPK-0.5-001-THERMAL SIMULATION SET-UP,JAGUARSOCKETDIFFICULTPO-THERMAL SIMULATION SET-UP,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,MOI,0,0,0,100,85,0,DE,8.5,7.5,9.0,2.0,19.5,5.672279628849873
11,QFN-28X32EPK-0.5-001,JAGUARSOCKETDIFFICULTPO,THERMAL SIMULATION SET-UP,QFN-28X32EPK-0.5-001-THERMAL SIMULATION SET-UP,JAGUARSOCKETDIFFICULTPO-THERMAL SIMULATION SET-UP,JAGUAR,SOCKET,DIFFICULTPO,PO,PO,28,32,EPK,QFN,JIM,85,0,0,0,0,0,DE,1.0,1.0,9.0,1.0,11.0,7.1198564125434505
12,FP-28X35EPK-0.65-001-C0,JAGUARLIDDIFFICULTPO,CONCEPT CHECKING,FP-28X35EPK-0.65-001-C0-CONCEPT CHECKING,JAGUARLIDDIFFICULTPO-CONCEPT CHECKING,JAGUAR,LID,DIFFICULTPO,PO,PO,28,35,EPK,FP,DJ,85,0,0,0,0,0,ADE,3.0,11.0,0.0,0.0,11.0,2.879177628731689
13,FP-28X35EPK-0.65-001-C0,JAGUARLIDDIFFICULTPO,CONCEPT CHECKING,FP-28X35EPK-0.65-001-C0-CONCEPT CHECKING,JAGUARLIDDIFFICULTPO-CONCEPT CHECKING,JAGUAR,LID,DIFFICULTPO,PO,PO,28,35,EPK,FP,MELVS,95,0,0,0,100,100,ADE,10.0,14.0,0.0,0.0,14.0,4.46555928040754
14,FP-28X35EPK-0.65-001-C0,JAGUARLIDDIFFICULTPO,CONCEPT CHECKING,FP-28X35EPK-0.65-001-C0-CONCEPT CHECKING,JAGUARLIDDIFFICULTPO-CONCEPT CHECKING,JAGUAR,LID,DIFFICULTPO,PO,PO,28,35,EPK,FP,MOI,0,0,0,100,85,0,DE,8.5,7.5,9.0,2.0,19.5,2.9540939334892404
15,FP-28X35EPK-0.65-001-C0,JAGUARLIDDIFFICULTPO,CONCEPT CHECKING,FP-28X35EPK-0.65-001-C0-CONCEPT CHECKING,JAGUARLIDDIFFICULTPO-CONCEPT CHECKING,JAGUAR,LID,DIFFICULTPO,PO,PO,28,35,EPK,FP,JIM,85,0,0,0,0,0,DE,1.0,1.0,9.0,1.0,11.0,3.262831693706382
16,FP-28X35EPK-0.65-001-C0,JAGUARLIDDIFFICULTPO,DRAWING - 2D&3D  ASSY,FP-28X35EPK-0.65-001-C0-DRAWING - 2D&3D  ASSY,JAGUARLIDDIFFICULTPO-DRAWING - 2D&3D  ASSY,JAGUAR,LID,DIFFICULTPO,PO,PO,28,35,EPK,FP,DJ,85,0,0,0,0,0,ADE,3.0,11.0,0.0,0.0,11.0,7.056815517398228
17,FP-28X35EPK-0.65-001-C0,JAGUARLIDDIFFICULTPO,DRAWING - 2D&3D  ASSY,FP-28X35EPK-0.65-001-C0-DRAWING - 2D&3D  ASSY,JAGUARLIDDIFFICULTPO-DRAWING - 2D&3D  ASSY,JAGUAR,LID,DIFFICULTPO,PO,PO,28,35,EPK,FP,MELVS,95,0,0,0,100,100,ADE,10.0,14.0,0.0,0.0,14.0,8.135650864587143
