,PN,Task,PIC,Start_Hours,Finish_Hours,Start_Date_Formatted,End_Date_Formatted,Business_Days
0,QFN-9X32EPK-0.475-001-S0_STRIPSOCKET & LIDW/ REFPO_,QFN-9X32EPK-0.475-001-S0_STRIPSOCKET & LIDW/ REFPO_-DRAWING - 2D&3D PARTS,DJ,0.0,7.0,2025-05-19 08:00,2025-05-20 09:00,2
1,QFN-9EPK-0.5-003-U0/-70_QFNSOCKETW/ REFPO_PO,QFN-9EPK-0.5-003-U0/-70_QFNSOCKETW/ REFPO_PO-3D CONCEPT,LEVI,0.0,4.0,2025-05-19 08:00,2025-05-19 12:00,1
2,FP-28X35EPK-0.65-001-C0,FP-28X35EPK-0.65-001-C0-CONCEPT CHECKING,MELVS,0.0,4.46555928040754,2025-05-19 08:00,2025-05-19 12:27,1
3,FP-28X35EPK-0.65-001-G0,FP-28X35EPK-0.65-001-G0-CONCEPT CHECKING,MOI,0.0,2.95409393348924,2025-05-19 08:00,2025-05-19 10:57,1
4,BGAT-113EP-0.5-001-00,BGAT-113EP-0.5-001-00-2D ASSY CONCEPT,JIM,0.0,5.188080930922909,2025-05-19 08:00,2025-05-19 13:11,1
5,BGAT-113EP-0.5-001-20,BGAT-113EP-0.5-001-20-2D ASSY CONCEPT,SHAD,0.0,2.027241179992635,2025-05-19 08:00,2025-05-19 10:01,1
6,BGAT-113EP-0.5-001-20,BGAT-113EP-0.5-001-20-3D CONCEPT,SHAD,2.027241179992635,4.095473770670315,2025-05-19 10:01,2025-05-19 10:04,1
7,BGAT-113EP-0.5-001-20,BGAT-113EP-0.5-001-20-ASSY DRAWING,SHAD,4.095473770670315,5.877467500177709,2025-05-19 12:05,2025-05-19 09:46,1
8,QFN-16X4EPK-0.5-008-S0,QFN-16X4EPK-0.5-008-S0-ASSY CHECKING,MOI,4.95409393348924,6.647296597409008,2025-05-19 12:57,2025-05-19 09:41,1
9,FP-8EPK-0.65-018-70_50,FP-8EPK-0.65-018-70_50-PN/PIN HOLE COUNT DETAILS,LEVI,6.0,6.864006121476283,2025-05-20 08:00,2025-05-20 08:51,1
10,QFN-16X8EPK-0.5-013-00,QFN-16X8EPK-0.5-013-00-CONCEPT CHECKING,MIKE,0.0,3.030198285396016,2025-05-19 08:00,2025-05-19 11:01,1
11,QFN-16X8EPK-0.5-013-70,QFN-16X8EPK-0.5-013-70-DRAWING - 2D&3D  ASSY,MERVS,0.0,3.865186805782072,2025-05-19 08:00,2025-05-19 11:51,1
12,OTQ-48EPK-0.5-041-00,OTQ-48EPK-0.5-041-00-ASSY CHECKING,MIKE,5.030198285396017,6.522908108310785,2025-05-19 13:01,2025-05-19 09:29,1
13,FP-14EPK-0.5-003-00_70_50,FP-14EPK-0.5-003-00_70_50-PN/PIN HOLE COUNT DETAILS,JIM,7.188080930922909,8.164687302482479,2025-05-20 09:11,2025-05-20 08:58,1
14,OTQ-48EPK-0.5-041-00,OTQ-48EPK-0.5-041-00-DRAWING - 2D&3D  ASSY,MIKE,6.522908108310785,8.80916129291149,2025-05-20 08:31,2025-05-20 10:17,1
15,BGAT-113EP-0.5-001-20,BGAT-113EP-0.5-001-20-DRAWING - 2D&3D PARTS,SHAD,5.877467500177709,9.571949951512064,2025-05-19 13:52,2025-05-19 11:41,1
16,QFN-16X8EPK-0.5-013-70,QFN-16X8EPK-0.5-013-70-DRAWING - 2D&3D PARTS,MERVS,3.865186805782072,9.839635125203262,2025-05-19 11:51,2025-05-19 13:58,1
17,QFN-16X4EPK-0.5-008-S0,QFN-16X4EPK-0.5-008-S0-DRAWING - 2D&3D  ASSY,MOI,6.647296597409008,9.903536499961831,2025-05-20 08:38,2025-05-20 11:15,1
18,BGAT-113EP-0.5-001-00,BGAT-113EP-0.5-001-00-ASSY CHECKING,MELVS,7.188080930922909,10.49259599453675,2025-05-20 09:11,2025-05-20 11:18,1
19,QFN-16X8EPK-0.5-013-70,QFN-16X8EPK-0.5-013-70-FINAL CHECKING,MERVS,9.839635125203262,10.73486020644478,2025-05-20 11:50,2025-05-20 08:53,1
20,BGAT-113EP-0.5-001-70,BGAT-113EP-0.5-001-70-2D ASSY CONCEPT,DJ,9.0,12.01136535394684,2025-05-20 11:00,2025-05-20 11:00,1
21,QFN-8EPK-0.65-009-U0_70,QFN-8EPK-0.65-009-U0_70-2D ASSY CONCEPT,LEVI,8.864006121476283,12.54728940902816,2025-05-20 10:51,2025-05-20 11:40,1
22,QFN-16X8EPK-0.5-013-70,QFN-16X8EPK-0.5-013-70-PARTS FINAL CHECKING,MERVS,10.73486020644478,13.35668946839467,2025-05-20 12:44,2025-05-20 10:37,1
23,OTQ-48EPK-0.5-041-00,OTQ-48EPK-0.5-041-00-DRAWING - 2D&3D PARTS,MIKE,8.80916129291149,13.73995692619423,2025-05-20 10:48,2025-05-20 12:55,1
24,BGAT-113EP-0.5-001-00,BGAT-113EP-0.5-001-00-CONCEPT CHECKING,SHAD,12.49259599453675,14.98177788638115,2025-05-21 08:29,2025-05-21 10:29,1
25,OTQ-48EPK-0.5-041-00,OTQ-48EPK-0.5-041-00-MESLINK,MIKE,13.73995692619423,15.92200815569824,2025-05-21 09:44,2025-05-21 10:10,1
26,BGAT-113EP-0.5-001-70,BGAT-113EP-0.5-001-70-3D CONCEPT,DJ,12.01136535394684,16.5352385910934,2025-05-21 08:00,2025-05-21 12:31,1
