,PRODUCT-ASSY TYPE,Task,Takt
0,BGATSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
1,FPSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
2,LGATSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
3,OTQSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
4,QFNSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
5,STRIPSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
6,WCSPSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
7,JAGUARSOCKETNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
8,BGATLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
9,FPLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
10,LGATLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
11,OTQLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
12,QFNLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
13,STRIPLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
14,WCSPLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
15,JAGUARLIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
16,BGATSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
17,FPSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
18,LGATSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
19,OTQSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
20,QFNSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
21,STRIPSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
22,WCSPSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
23,JAGUARSOCKET & LIDNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
24,BGATPARTNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
25,FPPARTNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
26,LGATPARTNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
27,OTQPARTNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
28,QFNPARTNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
29,STRIPPARTNEWINQUIRY,PN/PIN HOLE COUNT DETAILS,1.0
